,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Month,Seasons
29,29,1873100390,3/2/2015,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,Good,8,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,3,Winter
30,30,8562750320,11/10/2014,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,Good,8,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,11,Fall
31,31,2426039314,12/1/2014,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,Good,7,1190,0.0,2005,0.0,98133,47.7274,-122.357,1390,1756,12,Winter
32,32,461000390,6/24/2014,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,Very_Good,7,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,6,Spring
33,33,7589200193,11/10/2014,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,Very_Good,8,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,11,Fall
34,34,7955080270,12/3/2014,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,Good,7,1280,780.0,1981,0.0,98058,47.4276,-122.157,2020,8720,12,Winter
35,35,9547205180,6/13/2014,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,Good,8,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,6,Spring
36,36,9435300030,5/28/2014,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,Bad,5,930,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467,5,Spring
37,37,2768000400,12/30/2014,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,Very_Good,8,2360,0.0,1904,0.0,98107,47.6702,-122.362,1730,4700,12,Winter
38,38,7895500070,2/13/2015,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,Not_Good,7,890,330.0,1969,0.0,98001,47.3341,-122.282,1290,7800,2,Winter
39,39,2078500320,6/20/2014,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,Good,8,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,6,Spring
40,40,5547700270,7/15/2014,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,Good,9,2570,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669,7,Summer
41,41,7766200013,8/11/2014,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,Good,8,2600,1620.0,1984,0.0,98166,47.445,-122.347,2410,30617,8,Summer
42,42,7203220400,7/7/2014,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,Good,9,3595,291.851723974838,2014,0.0,98053,47.6848,-122.016,3625,5639,7,Summer
43,43,9270200160,10/28/2014,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,Good,7,1570,0.0,1922,0.0,98119,47.6413,-122.364,1580,2640,10,Fall
44,44,1432701230,7/29/2014,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,Very_Good,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808,7,Summer
45,45,8035350320,7/18/2014,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,Good,8,3160,0.0,2003,0.0,98019,47.7443,-121.977,3050,9232,7,Summer
46,46,8945200830,3/25/2015,210490.0,3,1.0,990,8528,1.0,0.0,0.0,Good,6,990,0.0,1966,0.0,98023,47.3066,-122.371,1228,8840,3,Winter
47,47,4178300310,7/16/2014,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,Very_Good,9,2290,0.0,1981,0.0,98007,47.6194,-122.151,2680,13685,7,Summer
48,48,9215400105,4/28/2015,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,Very_Good,7,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100,4,Spring
49,49,822039084,3/11/2015,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,Excellent,9,2165,588.0,1953,0.0,98070,47.4041,-122.451,2680,72513,3,Winter
50,50,5245600105,9/16/2014,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,Good,7,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364,9,Summer
51,51,7231300125,2/17/2015,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,Very_Good,8,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133,2,Winter
52,52,7518505990,12/31/2014,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,Very_Good,7,1000,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080,12,Winter
53,53,3626039271,2/5/2015,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,Good,7,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738,2,Winter
54,54,4217401195,3/3/2015,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,Good,8,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000,3,Winter
55,55,9822700295,5/12/2014,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,Good,9,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000,5,Spring
56,56,9478500640,8/19/2014,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,Good,7,2250,0.0,2008,0.0,98042,47.3663,-122.114,2250,4500,8,Summer
57,57,2799800710,4/7/2015,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,Good,8,2420,0.0,2003,0.0,98042,47.3663,-122.122,2690,4750,4,Spring
58,58,7922800400,8/27/2014,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,Very_Good,8,3250,0.0,1968,0.0,98008,47.588,-122.116,2960,11044,8,Summer
59,59,8079040320,2/23/2015,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,Good,8,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542,2,Winter
60,60,1516000055,12/10/2014,650000.0,3,2.25,2150,21235,1.0,0.0,3.0,Very_Good,8,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900,12,Winter
61,61,9558200045,8/28/2014,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,Good,7,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750,8,Summer
62,62,5072410070,10/21/2014,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,Excellent,8,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500,10,Fall
63,63,9528102996,12/7/2014,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,Good,8,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090,12,Winter
64,64,1189001180,6/3/2014,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,Good,7,1110,550.0,1979,0.0,98122,47.6113,-122.297,1440,4080,6,Spring
65,65,3253500160,11/20/2014,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,Excellent,7,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000,11,Fall
66,66,3394100030,9/9/2014,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,Good,10,2720,0.0,1989,0.0,98004,47.5815,-122.192,2750,11049,9,Summer
67,67,3717000160,10/9/2014,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,Good,7,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557,10,Fall
68,68,1274500060,8/25/2014,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,Very_Good,7,1000,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635,8,Summer
69,69,1802000060,6/12/2014,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,Good,8,1600,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158,6,Spring
70,70,1525059190,9/12/2014,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,Very_Good,11,3070,1700.0,1973,0.0,98005,47.6525,-122.16,3530,38917,9,Summer
71,71,1049000060,1/5/2015,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,Very_Good,7,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745,1,Winter
72,72,8820901275,6/10/2014,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,Excellent,7,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807,6,Spring
73,73,5416510140,7/10/2014,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,Good,8,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000,7,Summer
74,74,3444100400,3/16/2015,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,Excellent,7,1090,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529,3,Winter
75,75,3276920270,11/5/2014,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,Very_Good,10,2390,1040.0,1986,0.0,98075,47.5822,-121.987,3240,35020,11,Fall
76,76,4036801170,10/13/2014,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,Good,7,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500,10,Fall
77,77,2391600320,4/20/2015,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,Good,7,1040,0.0,1941,0.0,98116,47.5636,-122.394,890,5060,4,Spring
78,78,6300000287,6/9/2014,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,Very_Good,7,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693,6,Spring
79,79,1531000030,3/23/2015,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,Good,10,3450,291.851723974838,2002,0.0,98010,47.342,-122.025,3350,39750,3,Winter
80,80,5104520400,12/2/2014,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,Good,8,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363,12,Winter
81,81,7437100340,12/22/2014,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,Good,7,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405,12,Winter
82,82,9418400240,10/28/2014,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,Good,7,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720,10,Fall
83,83,1523059105,1/28/2015,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,Good,8,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797,1,Winter
84,84,1133000671,6/2/2014,315000.0,3,1.0,960,6634,1.0,0.0,0.0,Good,6,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203,6,Spring
85,85,4232902595,11/14/2014,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,Good,9,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800,11,Fall
86,86,2599001200,11/3/2014,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,Excellent,7,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165,11,Fall
87,87,3342103156,6/18/2014,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,Good,9,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349,6,Spring
88,88,1332700270,5/19/2014,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,Very_Good,7,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025,5,Spring
89,89,3869900162,9/4/2014,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,Good,7,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106,9,Summer
90,90,2791500270,5/22/2014,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,Good,7,1980,0.0,1988,0.0,98023,47.2897,-122.372,1980,7510,5,Spring
91,91,5036300431,3/11/2015,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,Very_Good,10,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250,3,Winter
92,92,4168000060,2/26/2015,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,Good,7,1200,0.0,1962,0.0,98023,47.322,-122.351,1350,10500,2,Winter
93,93,6021501535,7/25/2014,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,Good,8,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,7,Summer
94,94,6021501535,12/23/2014,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,Good,8,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,12,Winter
95,95,1483300570,9/8/2014,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,Good,7,2390,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045,9,Summer
96,96,3422049190,3/30/2015,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,Good,7,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616,3,Winter
97,97,1099611230,9/12/2014,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,Very_Good,7,1160,0.0,1975,0.0,98023,47.3036,-122.378,1160,6400,9,Summer
98,98,722079104,7/11/2014,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,Excellent,7,1210,600.0,1980,0.0,98038,47.4109,-121.958,1650,135036,7,Summer
99,99,7338200240,5/16/2014,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,Good,9,2320,0.0,1992,0.0,98045,47.4838,-121.714,2550,35065,5,Spring
100,100,1952200240,6/11/2014,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,Excellent,9,1270,800.0,1910,0.0,98102,47.6415,-122.315,2200,4500,6,Spring
101,101,5200100125,10/27/2014,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,Very_Good,7,1440,540.0,1929,0.0,98117,47.6775,-122.372,1610,3478,10,Fall
102,102,7214720075,12/12/2014,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,Very_Good,8,2190,0.0,1983,0.0,98077,47.7731,-122.08,2570,47777,12,Winter
103,103,2450000295,10/7/2014,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,Good,8,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,10,Fall
104,104,6197800045,9/24/2014,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,Good,7,1210,0.0,1954,0.0,98058,47.4375,-122.184,1640,14910,9,Summer
105,105,1328310370,4/2/2015,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,Very_Good,8,1460,880.0,1978,0.0,98058,47.4431,-122.133,2250,8162,4,Spring
106,106,546000875,5/23/2014,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,Very_Good,7,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005,5,Spring
107,107,3530510041,7/23/2014,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,Very_Good,8,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966,7,Summer
108,108,1853000400,3/5/2015,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,Very_Good,10,3140,0.0,1991,0.0,98077,47.7304,-122.082,2990,35001,3,Winter
109,109,3134100116,8/27/2014,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,Very_Good,7,2030,0.0,1942,0.0,98052,47.6417,-122.109,2500,9433,8,Summer
110,110,9545230140,7/25/2014,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,Good,8,2310,0.0,1984,0.0,98027,47.5386,-122.053,1940,9636,7,Summer
111,111,3362400511,3/4/2015,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,Excellent,6,700,560.0,1905,0.0,98103,47.6823,-122.349,1380,3536,3,Winter
112,112,2525310310,9/16/2014,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,Very_Good,7,1160,291.851723974838,1980,0.0,98038,47.3624,-122.031,1540,11656,9,Summer
113,113,6126500060,11/24/2014,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,Good,7,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500,11,Fall
114,114,8961960160,10/28/2014,480000.0,4,2.5,3230,16171,2.0,0.0,0.0,Good,9,2520,710.0,2001,0.0,98001,47.3183,-122.253,2640,8517,10,Fall
115,115,3626039325,11/21/2014,740500.0,3,3.5,4380,6350,2.0,0.0,0.0,Good,8,2780,291.851723974838,1900,0.0,98117,47.6981,-122.368,1830,6350,11,Fall
116,116,3362400431,6/26/2014,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,Good,8,1590,0.0,2010,0.0,98103,47.6824,-122.347,1620,3166,6,Spring
117,117,4060000240,6/23/2014,205425.0,2,1.0,880,6780,1.0,0.0,0.0,Very_Good,6,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,6,Spring
118,118,3454800060,1/8/2015,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,Good,6,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000,1,Winter
119,119,1695900060,5/11/2015,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,Very_Good,7,1610,0.0,1925,0.0,98144,47.587,-122.294,1610,4040,5,Spring
120,120,7278700070,1/2/2015,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,Good,8,1560,840.0,1964,0.0,98177,47.7728,-122.386,2340,10856,1,Winter
121,121,6675500070,11/19/2014,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,Good,7,1450,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104,11,Fall
122,122,3626039187,4/6/2015,395000.0,2,1.0,770,6000,1.0,0.0,0.0,Good,6,770,0.0,1953,0.0,98117,47.6999,-122.364,1710,6000,4,Spring
123,123,3524049083,11/4/2014,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,Excellent,7,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400,11,Fall
124,124,3275860240,6/18/2014,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,Good,9,2910,0.0,1990,0.0,98052,47.6897,-122.098,2700,13992,6,Spring
125,125,4389200955,3/2/2015,1450000.0,4,2.75,2750,17789,1.5,0.0,0.0,Good,8,1980,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275,3,Winter
126,126,4058801670,7/17/2014,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,Good,8,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,7,Summer
127,127,8732020310,7/17/2014,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,Good,8,1360,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400,7,Summer
128,128,2331300505,6/13/2014,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,Excellent,7,1720,600.0,1926,0.0,98103,47.6763,-122.352,1700,4960,6,Spring
129,129,7853210060,4/6/2015,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,Good,7,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748,4,Spring
130,130,3668000070,1/5/2015,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,Very_Good,7,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680,1,Winter
131,131,9545240070,4/28/2015,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,Good,8,1440,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793,4,Spring
132,132,1243100136,6/12/2014,784000.0,3,3.5,3950,111078,1.5,0.0,0.0,Good,9,2460,1490.0,1989,0.0,98052,47.697,-122.072,2480,88500,6,Spring
133,133,8929000270,5/12/2014,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,Good,8,1390,620.0,2014,0.0,98029,47.5517,-121.998,1690,1662,5,Spring
134,134,2767602356,1/26/2015,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,Good,9,2140,0.0,2005,0.0,98107,47.6734,-122.38,1540,2285,1,Winter
135,135,921049315,8/13/2014,199000.0,3,1.75,1320,17390,1.0,0.0,0.0,Very_Good,7,1320,0.0,1956,0.0,98003,47.3257,-122.296,1550,19265,8,Summer
136,136,3655000070,8/5/2014,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,Good,7,1010,1010.0,1968,0.0,98003,47.3309,-122.299,1750,8140,8,Summer
137,137,4027700812,5/29/2014,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,Very_Good,8,1340,1250.0,1968,0.0,98028,47.7689,-122.266,1550,10436,5,Spring
138,138,3992700335,7/7/2014,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,Good,6,1190,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715,7,Summer
139,139,2767603505,5/7/2014,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,Good,8,1170,0.0,2014,0.0,98107,47.6722,-122.381,1350,1310,5,Spring
140,140,4232901525,6/27/2014,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,Good,7,1110,0.0,1925,0.0,98119,47.6338,-122.358,1170,3600,6,Spring
141,141,1777500060,7/8/2014,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,Very_Good,8,1550,1270.0,1968,0.0,98006,47.5707,-122.128,2820,9375,7,Summer
142,142,1432900240,5/8/2015,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,Very_Good,7,1010,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579,5,Spring
143,143,6140100875,4/15/2015,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,Very_Good,7,940,120.0,1923,0.0,98133,47.7144,-122.351,1560,7940,4,Spring
144,144,6071600370,2/27/2015,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,Very_Good,8,1380,650.0,1961,0.0,98006,47.5495,-122.174,2230,8824,2,Winter
145,145,1526069017,12/3/2014,921500.0,4,2.5,3670,315374,2.0,0.0,0.0,Very_Good,9,3670,0.0,1994,0.0,98077,47.7421,-122.026,2840,87991,12,Winter
146,146,809001525,6/25/2014,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,Good,8,2370,180.0,1905,0.0,98109,47.6354,-122.353,2200,4000,6,Spring
147,147,3224079105,8/6/2014,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,Good,7,2420,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842,8,Summer
148,148,8075400570,10/30/2014,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,Very_Good,8,1130,1130.0,1960,0.0,98032,47.3887,-122.286,1360,18000,10,Fall
149,149,1994200024,11/4/2014,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,Good,7,980,450.0,1947,0.0,98103,47.6873,-122.336,1450,4599,11,Fall
150,150,3362900810,8/20/2014,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,Good,8,1360,0.0,1990,0.0,98103,47.6838,-122.353,1500,3090,8,Summer
151,151,1324300398,4/9/2015,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,Good,7,1110,0.0,1947,0.0,98107,47.655,-122.359,1420,5000,4,Spring
